-2		자유게시판 테스트중입니다 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ		관리자		2015-05-10		11		12500
-1		음.. 안녕하세요		시다		2015-05-10		1		2479
0		자게이 난민 대피소인가요?		애러비		2015-05-10				2411
1		ㄷㄷㄷㄷㄷ여기가 디스트릭트9?		낮해밤달		2015-05-10				2541
2		아싸... 순위권 등극인가요?		아모피스		2015-05-10				2291
3		오오 여기가 여기가 ㄷㄷㄷㄷㄷㄷ		자연은블루베리		2015-05-10				2110
4		ㅎㄷㄷㄷㄷㄷㄷ		SiMCiTY		2015-05-10				1971
5		딴지에 자게라니 ㄷㄷ ㄷ  ㄷ		행복한재호		2015-05-10				2119
6		여기가 자유게시판이 맞습니까? ㄷㄷㄷ		떡치기대장		2015-05-10				2027
7		ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ		▶◀고소한레고밥		2015-05-10				1998
8		서버 느려졌다.		읊조림		2015-05-10				1879
9		지금 서버 사러갑니다.		관리자		2015-05-10		6		39125
10		이렇게 느리면 나가린데........		wolfstudio		2015-05-10				1979
11		ㄷ ㄷ ㄷ ㄷ ㄷ ㄷ 일단 가입부터		Camion乃		2015-05-10				1771
12		SLR에서 이사왔습니다		퍄노		2015-05-10				1843
13		난민대피소 인가요??		토리™		2015-05-10				2081
14		일단 피난옴..		고굼		2015-05-10				1639
15		우워워~~~		인페		2015-05-10				1596
공지		#일본불매 #탐수아 #탐사영상		탐수아		2019-08-08		19		15093
16		아무리 자게 난민촌이라지만 말이죠...		일격살충		2015-05-10				1698
17		서버 사러 갔답니다 서버 사오면 마저 놀아야지		대구사는오씨		2015-05-10				1638
18		사진 어캐 올림?		배부른기마민족		2015-05-10				1800
19		오메.. 글 함 남겨 봅니다요~!		심심햇		2015-05-10				1521
20		..여긴 난민 수용소이긴 한데..환경이 열악함 ㅠㅡㅠ,,,		후지지말입니다		2015-05-10				1615
21		ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ		달군씨앗		2015-05-10				1434
22		난민 왔어유 ㄷㄷㄷ		뉴비-★		2015-05-10				1398
23		이쯤되면 양손에 서버끼고 총수가 격하게 환영해줘야되는거 아니오?		자연은블루베리		2015-05-10				1457
24		요기가 난민수용소인가요?		투명인간ㅠ.ㅠ		2015-05-10				1410
25		서버 증설을 위해 24:00 재부팅 합니다.		관리자		2015-05-10		1		6991
26		아직 순위권인듯요~!!		최파르타쿠스		2015-05-10				1345
27		이 정도 속도면 서버산다고 해결이..		NU예삐오		2015-05-10				1453
28		딴지일보에서 서버구매비 필요하다면.. ㄷㄷㄷㄷㄷㄷ		▶◀고소한레고밥		2015-05-10				1737
29		난민입니다....		balamdoli		2015-05-10				1329
30		서버 증설로 해결 될지는 모르겠지만 ...		▶◀MioTakaba잇힝		2015-05-10				1345
31		이게 다 너희들 때문이야 ㄷㄷ 有		감자고구마깡		2015-05-10				1760
32		일단 여기로 왔습니다...		박대표™		2015-05-10				1305
33		이민기념으로 남김		바벨의도서관		2015-05-10				1320
34		ㄷㄷ 자게이분들 안녕하세요 ㄷㄷㄷㄷ		진지한너부리		2015-05-10		1		2734
35		아.. 느려유 ㄷ ㄷ		claire		2015-05-10				1313
36		ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ		웅컁		2015-05-10				1310
37		한밤중에 이게 먼일..ㅋ		사랑지나고나면		2015-05-10		1		1377
38		여기도 자게가 생겼구나.....		물빛세상		2015-05-10				1388
39		이미지 업로드 테스트 有		NU예삐오		2015-05-10				1802
40		다 괜찮은데 장터는 참 마음에 들었는데 장터대체할만한 사이트 있나요??		관리자		2015-05-10		1		3879
41		에쎄랄 난민 등록합니다..		똥꼬사냥		2015-05-10				1354
42		일단 발 먼저 담가봅니다..		Cookie™		2015-05-10				1352
43		이번사태를 기사로 써도 될듯....ㄷ ㄷ ㄷ ㄷ ㄷ ㄷ  ㄷ		후지지말입니다		2015-05-10				1424
44		저도 왔습니다 ㅋㅋ		엘렌즈		2015-05-10				1391
45		산넘고 물건너 온 난민 입니다		한쪽눈을감는이유		2015-05-10				1434
공지		#일본불매 #탐수아 #탐사영상		탐수아		2019-08-08		19		15093
46		내일이 월요일이니 내일을 위해 자러가야겠네유.. 러시아 걸그룹 영상 투척		아모피스		2015-05-10				1587
47		성인게시판도 만들어주세요 ㄷㄷㄷㄷㄷ		내가누구징		2015-05-10				1602
48		구경하러 왔슴다..ㄷㄷㄷ		뭐_임마		2015-05-10				1431
49		일단 망명왔어요		그러게말입니다		2015-05-10		1		1409
50		느리지만 않다면 ..		▶◀MioTakaba잇힝		2015-05-10				1446
51		서버 리붓전 가입 완료...		canonlove		2015-05-10				1461
52		딴지 가입후 첫글		고소한고래밥		2015-05-10		1		8256
53		응원합니다		길잃은자게이		2015-05-10				1477
54		아몰랑 딴지는 너무 느령		현기차알바		2015-05-10				1550
55		아 느린것만 해결되면 좋겠네유 ㄷ ㄷ		아리어리		2015-05-10				1479
56		24시 리부팅 기대됩니다유- ㄷㄷㄷ		아몰랑		2015-05-10				1496
57		오늘 처음 가입한 신입이예유 ㄷㄷㄷ		★´`°³о涅槃о³°`‘★		2015-05-10		1		1525
58		수고 많으십니다		이웃삼촌		2015-05-10				1521
59		하~ 냄새가 진동을 하네유		이거~아실만한분이		2015-05-10				1630
60		딴지 은둔 15년만에 이런 경사스런일이 ㄷㄷㄷㄷㄷㄷ		영군		2015-05-10				1743
61		스르륵에서 넘어왔어유 ㄷㄷㄷㄷ		립톤포도맛		2015-05-10				1556
62		12시에 서버 업 한단거 참말일라나@@		silenshot		2015-05-10				1581
63		에혀... 이사 왔습니다.		멜랑캠프		2015-05-10				1587
64		딴지서버야힘내!!		뽏롫뽏롫밇		2015-05-10		1		1721
65		저...혹시 여기가 맞나유		slrmono		2015-05-10				1610
66		리붓중인가 겁나느림.... 이민왔어요.		핸진이20승		2015-05-11				1627
67		서버 언능사주세요 현기증난단 말이에요...		아무거나해봐요		2015-05-11				1718
68		이사왔어요		레벨1		2015-05-11				1634
69		관리자님 서버증설보다 더 중요한게 있습니다. 그거슨 바로!! 뺑뺑이!!		zziziree		2015-05-11				1788
70		재부팅 1등!!!!!		엘렌즈		2015-05-11				1692
71		ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ		웅컁		2015-05-11				1678
72		리붓해도 느려요...		끼움증권		2015-05-11				1715
73		느려유! 느려유!		아몰랑		2015-05-11				1675
74		음 아직 느린듯?		박대표™		2015-05-11				1709
75		여기 인가요 ??		▶◀MioTakaba잇힝		2015-05-11				1687
공지		#일본불매 #탐수아 #탐사영상		탐수아		2019-08-08		19		15093
80		스르륵에서 왔습니다 ㄷㄷ		AMG		2015-05-11				1716
81		속도가....		사랑지나고나면		2015-05-11				1694
82		횽 서버 사온거 맞아??조선컴 사온거 아냐?		현기차알바		2015-05-11				1870
83		안녕하세유 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ		멘촙		2015-05-11				1691
84		딴지 서버야 힘내		Moty		2015-05-11				1724
85		아... 아직 느려용..		일격살충		2015-05-11				1742
86		자게에서 왔습니다		Reality@Bites		2015-05-11				1765
87		딴지 자게에 원하는 기능 ㄷㄷㄷ		아몰랑		2015-05-11				1776
88		안녕하세요... slr자게에서 왔어요		포동이아빠		2015-05-11				1723
89		딴지 자게 관리자님 수고 많으십니다		나박사다		2015-05-11				1730
90		스르륵에서 망명왔어요.		두리짱™		2015-05-11				1743
91		느림 ㅠㅠ 너무 느림 ㅠㅠㅠ		▶◀MioTakaba잇힝		2015-05-11				1734
92		그냥 재부팅만 한거에요?ㅠㅠ		폐월		2015-05-11				1748
93		내가 딴지에 아이디를 팔 줄일야...ㄷㄷㄷㄷ		푸르릉ZAG		2015-05-11				1773
94		우왕.... 조타!		JUNEspLAY~♥		2015-05-11				1749
95		망명왔어유 ㄷㄷㄷ		랑랑파파		2015-05-11				1741
96		건의사항 ㄷㄷㄷㄷㄷ		▶◀고소한레고밥		2015-05-11				1769
97		어이 운영자 양반ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ		1지명		2015-05-11				1965
98		운영자님...  공지로 하나 써서 자게이들이 원하는 기능 댓글로 받아주세요..		웅컁		2015-05-11				1708
99		딴지 자게		읊조림		2015-05-11				1727
100		이민 신고		푸른무지개		2015-05-11				1720
101		하 이민왔는데 로그인도 느림 ㅠㅠㅠㅠㅠㅠ		식이식이		2015-05-11				1728
102		ㄲㅐ봉님은 여기 안오실려나??		◁토리--◁		2015-05-11				1817
103		이왕 딴지로 온김에 자게이랑 딱 맞는걸 추천ㅎㄷㄷㄷㄷㄷㄷ		난꽁치		2015-05-11				1755
104		[속보] 딴지일보 잦이들에게 특혜 의혹!		현기차알바		2015-05-11				1919
105		운영자님~~		립톤포도맛		2015-05-11				1738
106		서버만 빨랐어도...		아무거나해봐요		2015-05-11				1743
107		난 큰거 안 바람 ... 속도+모바일사이트+사진업로드		▶◀MioTakaba잇힝		2015-05-11				1752
108		서버증설하신거맞나유 ㅠㅠ		아리어리		2015-05-11				1757
109		아 ~~~ 이민와서 서글픈데 ... 느려 ~		정말이러기야		2015-05-11				1723
공지		#일본불매 #탐수아 #탐사영상		탐수아		2019-08-08		19		15093
